line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,0.000,主告訴我　如何獻上我的生命,0.0000,,,,,,,,False
2,20.000,帶希望入人群中,0.8531,,,,,,,,False
3,27.000,主告訴我　如何付出我的關懷,0.9629,,,,,,,,False
4,34.000,將溫暖帶入世界,0.4509,,,,,,,,False
5,40.000,我看到靈魂中的憂傷,1.0000,,,,,,,,False
6,46.000,孤獨中人的心在角落顫抖,0.8806,,,,,,,,False
7,53.000,差遣我　差遣我　我願付出我所有,0.9903,,,,,,,,False
8,56.000,我願付出我所有,1.0000,,,,,,,,False
9,59.000,差遣我　到需要祢的人群中,1.0000,,,,,,,,False
10,66.000,充滿我　充滿我　用祢愛來充滿我,0.9160,,,,,,,,False
11,69.000,用祢愛來充滿我,0.2457,,,,,,,,False
12,72.000,再一次　緊握他們的手,0.8246,,,,,,,,False
13,86.000,主告訴我　如何獻上我的生命,0.0000,,,,,,,,False
14,100.000,帶希望入人群中,0.8440,,,,,,,,False
15,107.000,主告訴我　如何付出我的關懷,0.9811,,,,,,,,False
16,113.000,將溫暖帶入世界,0.7983,,,,,,,,False
17,115.000,我看到靈魂中的憂傷,0.9994,,,,,,,,False
18,122.000,孤獨中人的心在角落顫抖,1.0000,,,,,,,,False
19,128.000,差遣我　差遣我　我願付出我所有,0.9994,,,,,,,,False
20,131.000,我願付出我所有,0.5514,,,,,,,,False
21,134.000,差遣我　到需要祢的人群中,0.8166,,,,,,,,False
22,140.000,我看到靈魂中的憂傷,1.0000,,,,,,,,False
23,142.000,靈魂中的憂傷,1.0000,,,,,,,,False
24,147.000,孤獨中人的心在角落顫抖,0.9526,,,,,,,,False
25,166.000,靈魂中的憂傷,0.9811,,,,,,,,False
26,167.000,差遣我　到需要祢的人群中,0.7606,,,,,,,,False
27,173.000,充滿我　充滿我　用祢愛來充滿我,0.9994,,,,,,,,False
28,176.400,用祢愛來充滿我,0.9617,,,,,,,,False
29,179.700,再一次　緊握他們的手,1.0000,,,,,,,,False
30,183.200,我看到靈魂中的憂傷,0.9446,,,,,,,,False
31,189.700,孤獨中人的心在角落顫抖,0.6874,,,,,,,,False
32,196.400,我看到靈魂中的憂傷,0.3086,,,,,,,,False
33,203.000,孤獨中人的心在角落顫抖,0.9537,,,,,,,,False
34,209.600,差遣我　差遣我　我願付出我所有,0.9811,,,,,,,,False
35,213.000,我願付出我所有,0.9903,,,,,,,,False
36,216.300,差遣我　到需要祢的人群中,0.9994,,,,,,,,False
37,222.900,充滿我　充滿我　用祢愛來充滿我,0.9811,,,,,,,,False
38,226.300,用祢愛來充滿我,0.7840,,,,,,,,False
39,229.500,再一次　緊握他們的手,1.0000,,,,,,,,False
40,236.200,再一次　緊握他們的手,0.9446,,,,,,,,False
41,243.000,再一次　緊握他們的手,0.6509,,,,,,,,False
42,252.700,再一次,0.5411,,,,,,,,False
43,255.500,緊握他們的手,0.4286,,,,,,,,False
44,262.200,再一次,0.0000,,,,,,,,False
45,265.500,緊握他們的手,0.9446,,,,,,,,False
