line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,15.000,早晨我睜開眼睛,0.7434,,,,,,,,False
2,22.000,渴望聆聽祢聲音,0.7891,,,,,,,,False
3,29.000,心中思想祢的好,0.8531,,,,,,,,False
4,36.000,更多與祢來親近,0.7709,,,,,,,,False
5,54.000,夜晚我仍要歌唱,0.4040,,,,,,,,False
6,59.000,向祢闡明我心意,0.3646,,,,,,,,False
7,67.000,敬拜化成一首歌,0.7240,,,,,,,,False
8,74.000,單單要唱給祢聽,0.4680,,,,,,,,False
9,84.000,從早晨到夜晚,0.8074,,,,,,,,False
10,88.000,從曠野到高山,0.9903,,,,,,,,False
11,92.000,親愛主,0.9994,,,,,,,,False
12,94.000,我要稱頌祢美名,0.6480,,,,,,,,False
13,99.000,從早晨到夜晚,0.9531,,,,,,,,False
14,102.000,祢愛永不止息,1.0000,,,,,,,,False
15,106.000,親愛主,1.0000,,,,,,,,False
16,108.000,一生緊緊跟隨祢,1.0000,,,,,,,,False
17,118.000,我的主,0.0000,,,,,,,,False
18,119.000,我愛祢,0.0000,,,,,,,,False
19,124.000,從早晨到夜晚,0.0000,,,,,,,,False
20,126.000,從曠野到高山,0.0000,,,,,,,,False
21,129.000,親愛主,0.0000,,,,,,,,False
22,132.000,我要稱頌祢美名,0.0000,,,,,,,,False
23,133.000,親愛主,0.0000,,,,,,,,False
24,134.000,我要稱頌祢美名,0.2680,,,,,,,,False
25,135.000,親愛主,0.5789,,,,,,,,False
26,136.000,我愛祢,0.8257,,,,,,,,False
27,137.000,我的主,1.0000,,,,,,,,False
28,138.000,我愛祢,1.0000,,,,,,,,False
29,139.000,我的主,1.0000,,,,,,,,False
30,140.000,我的主,0.9537,,,,,,,,False
31,141.000,我愛祢,1.0000,,,,,,,,False
32,142.000,我的主,1.0000,,,,,,,,False
33,143.000,我的主,0.8531,,,,,,,,False
34,144.000,我的主,0.9720,,,,,,,,False
35,145.000,我的主,0.9994,,,,,,,,False
36,146.000,我的主,0.9994,,,,,,,,False
37,147.000,從早晨到夜晚,0.8497,,,,,,,,False
38,150.000,祢愛永不止息,0.9171,,,,,,,,False
39,154.000,親愛主 一生緊緊跟隨祢,0.9994,,,,,,,,False
40,161.000,我的主 我愛祢,1.0000,,,,,,,,False
41,168.000,我要誇祢的愛無止盡,0.9411,,,,,,,,False
42,176.000,我的主 我愛祢,0.4503,,,,,,,,False
43,184.000,我要誇祢的愛無止盡,0.9531,,,,,,,,False
44,191.000,我的主 我愛祢,0.5651,,,,,,,,False
45,198.000,我要誇祢的愛無止盡,0.6429,,,,,,,,False
46,204.000,啊,0.2314,,,,,,,,False
47,205.000,啊,0.2091,,,,,,,,False
48,206.000,我的主 我愛祢,0.4829,,,,,,,,False
49,213.000,我要誇祢的愛無止盡,0.9446,,,,,,,,False
50,221.000,啊,0.0000,,,,,,,,False
51,222.000,啊,0.0000,,,,,,,,False
52,223.000,啊,0.0000,,,,,,,,False
53,224.000,啊,0.0000,,,,,,,,False
54,225.000,啊,0.0000,,,,,,,,False
55,226.000,啊,0.0000,,,,,,,,False
56,227.000,啊,0.0000,,,,,,,,False
57,228.000,啊,0.0000,,,,,,,,False
58,229.000,啊,0.0000,,,,,,,,False
59,230.000,啊,0.0000,,,,,,,,False
60,231.000,啊,0.0000,,,,,,,,False
61,232.000,啊,0.0000,,,,,,,,False
62,233.000,啊,0.0000,,,,,,,,False
63,234.000,啊,0.0000,,,,,,,,False
64,235.000,啊,0.0903,,,,,,,,False
65,236.000,啊,0.0000,,,,,,,,False
66,238.000,啊,0.0000,,,,,,,,False
67,239.000,啊,0.0000,,,,,,,,False
68,240.000,啊,0.0000,,,,,,,,False
69,241.000,啊,0.0000,,,,,,,,False
70,242.000,啊,0.0000,,,,,,,,False
71,265.000,祢愛永不止息,1.0000,,,,,,,,False
72,268.800,親愛主一生緊緊跟隨祢,1.0000,,,,,,,,False
73,274.980,從早晨到夜晚,0.9440,,,,,,,,False
74,279.000,從曠野到高山,0.9171,,,,,,,,False
75,282.700,親愛主我要稱頌祢美名,0.8440,,,,,,,,False
76,288.840,從早晨到夜晚,0.7434,,,,,,,,False
77,292.840,祢愛永不止息,0.4143,,,,,,,,False
78,296.240,親愛主一生緊緊跟隨祢,0.4857,,,,,,,,False
79,302.940,從早晨到夜晚,0.9811,,,,,,,,False
80,306.720,從曠野到高山,0.5503,,,,,,,,False
81,310.120,親愛主我要稱頌祢美名,0.6966,,,,,,,,False
82,316.180,從早晨到夜晚,0.5971,,,,,,,,False
83,320.700,祢愛永不止息,0.3960,,,,,,,,False
84,322.840,親愛主一生緊緊跟隨祢,0.8166,,,,,,,,False
85,323.940,親愛主一生緊緊跟隨祢,0.7697,,,,,,,,False
86,324.940,親愛主一生緊緊跟隨祢,0.9171,,,,,,,,False
87,352.840,親愛主一生緊緊跟隨祢,0.0000,,,,,,,,False
