line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,0.000,我要弹琴歌唱颂你，因为你那双伟健的脚，全地扬扬声述说你的荣耀，全心来赞美你,0.0000,,,,,,,,False
2,12.330,吉鼓敲，弹个扬乐器，来排场，唱唱几场歌，见证荣耀，大显万能，宣告主你的神,0.0000,,,,,,,,False
3,24.330,哦，哈利路亚，哈利路赞美主，哈利路亚，哈利路赞美主，哈利路亚，主我唱颂你，哈利路亚，你的神,0.0000,,,,,,,,False
4,39.330,我要弹琴歌唱颂你，因为你那双伟健的脚，全地扬扬声述说你的荣耀，全心来赞美你,0.0000,,,,,,,,False
5,51.670,吉鼓敲，弹个扬乐器，来排场，唱唱几场歌，见证荣耀，大显万能，宣告主你的神,0.0000,,,,,,,,False
6,63.670,哦，哈利路亚，哈利路赞美主，哈利路亚，哈利路赞美主，哈利路亚，主我唱颂你，哈利路亚，你的神,0.8943,,,,,,,,False
7,78.670,吉鼓敲，弹个扬乐器，来排场，唱唱几场歌，见证荣耀，大显万能，宣告主你的神,0.2274,,,,,,,,False
8,90.670,哦，哈利路亚，哈利路赞美主，哈利路亚，哈利路赞美主，哈利路亚，主我唱颂你，哈利路亚，你的神,0.0000,,,,,,,,False
9,105.670,哦，哈利路亚，哈利路赞美主，哈利路亚，哈利路赞美主，哈利路亚，主我唱颂你，哈利路亚，你的神,0.0000,,,,,,,,False
10,120.670,哦，哈利路亚，哈利路赞美主，哈利路亚，哈利路赞美主，哈利路亚，主我唱颂你，哈利路亚，你的神,0.3674,,,,,,,,False
11,135.670,哈利路亚，你的神，哈利路亚，你的神,0.0000,,,,,,,,False
