line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,37.870,祢是我的主 引我走正義路,0.5594,,,,,,,,False
2,44.270,高山或低谷 都是祢在保護,0.8806,,,,,,,,False
3,51.600,萬人中唯獨 祢愛我認識我,0.8989,,,,,,,,False
4,58.900,永遠不變的應許 這一生 都是祝福,0.9446,,,,,,,,False
5,69.670,一步又一步 這是恩典之路,0.1909,,,,,,,,False
6,76.630,祢愛 祢手 將我緊緊抓住,0.0000,,,,,,,,False
7,85.130,一步又一步 這是盼望之路,0.9903,,,,,,,,False
8,92.170,祢愛 祢手 牽引我走這人生路,0.7343,,,,,,,,False
9,131.470,祢是我的主 引我走正義路,0.9720,,,,,,,,False
10,138.100,高山或低谷 都是祢在保護,0.7160,,,,,,,,False
11,145.770,萬人中唯獨 祢愛我認識我,0.7069,,,,,,,,False
12,153.230,永遠不變的應許 這一生 都是祝福,1.0000,,,,,,,,False
13,164.100,一步又一步 這是恩典之路,0.8440,,,,,,,,False
14,171.230,祢愛 祢手 將我緊緊抓住,0.9629,,,,,,,,False
15,178.800,一步又一步 這是盼望之路,0.8989,,,,,,,,False
16,185.470,祢愛 祢手 牽引我走這人生路,1.0000,,,,,,,,False
17,196.870,一步又一步 這是恩典之路,1.0000,,,,,,,,False
18,203.770,祢愛 祢手 將我緊緊抓住,0.8349,,,,,,,,False
19,211.130,一步又一步 這是盼望之路,0.3817,,,,,,,,False
20,218.100,祢愛 祢手 牽引我走這人生路,0.2589,,,,,,,,False
21,229.300,祢愛 祢手,0.8983,,,,,,,,False
22,233.670,牽引我走這人生路,0.9811,,,,,,,,False
