line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,30.000,開我心眼使我看見,0.2760,,,,,,,,False
2,35.880,以感恩的心  領受生命活水,0.8531,,,,,,,,False
3,39.380,從祢而來的溫柔謙卑,0.3280,,,,,,,,False
4,45.000,何等恩典  祢竟然在乎我,0.5474,,,,,,,,False
5,52.060,何等恩典  祢寶血為我流,0.5383,,,,,,,,False
6,58.400,何等恩典  祢寶血為我流,0.4640,,,,,,,,False
7,59.980,何等恩典  祢以尊貴榮耀為我冠冕,0.8886,,,,,,,,False
8,66.660,我的嘴  必充滿讚美,0.9069,,,,,,,,False
9,84.180,祢已挪去  我所有枷鎖,0.9446,,,,,,,,False
10,87.300,祢已挪去  我所有重擔,0.8806,,,,,,,,False
11,87.980,祢已挪去  我所有重擔,0.7851,,,,,,,,False
12,88.280,祢已挪去  我所有傷悲,0.8674,,,,,,,,False
13,89.700,祢已挪去  我所有傷悲,0.7697,,,,,,,,False
14,89.820,開我心眼使我看見,0.8617,,,,,,,,False
15,94.380,開我心眼使我看見,0.9623,,,,,,,,False
16,97.700,以感恩的心  領受生命活水,1.0000,,,,,,,,False
17,101.100,以感恩的心  領受生命活水,0.9994,,,,,,,,False
18,104.720,從祢而來的溫柔謙卑,1.0000,,,,,,,,False
19,110.940,何等恩典  祢竟然在乎我,1.0000,,,,,,,,False
20,113.180,何等恩典  祢竟然在乎我,0.8714,,,,,,,,False
21,117.360,何等恩典  祢寶血為我流,0.6297,,,,,,,,False
22,120.120,何等恩典  祢寶血為我流,0.9080,,,,,,,,False
23,123.840,何等恩典  祢以尊貴榮耀為我冠冕,0.6337,,,,,,,,False
24,127.040,何等恩典  祢以尊貴榮耀為我冠冕,0.6314,,,,,,,,False
25,131.940,我的嘴  必充滿讚美,0.9257,,,,,,,,False
26,134.120,我的嘴  必充滿讚美,0.8309,,,,,,,,False
27,147.360,祢已挪去  我所有枷鎖,0.1949,,,,,,,,False
28,155.740,祢已挪去  我所有重擔,0.6429,,,,,,,,False
29,163.040,祢已挪去  我所有傷悲,0.2183,,,,,,,,False
30,169.680,祢的名配得所有頌讚,0.7520,,,,,,,,False
31,177.360,祢已挪去  我所有枷鎖,0.8623,,,,,,,,False
32,184.040,祢已挪去  我所有重擔,0.9080,,,,,,,,False
33,190.960,祢已挪去  我所有傷悲,0.3189,,,,,,,,False
34,196.960,祢的名配得所有頌讚,1.0000,,,,,,,,False
35,203.360,何等恩典  祢竟然在乎我,0.8440,,,,,,,,False
36,206.120,何等恩典  祢竟然在乎我,0.9354,,,,,,,,False
37,207.160,何等恩典  祢竟然在乎我,0.8674,,,,,,,,False
38,210.880,何等恩典  祢寶血為我流,0.9349,,,,,,,,False
39,213.400,何等恩典  祢寶血為我流,0.9903,,,,,,,,False
40,217.720,何等恩典  祢以尊貴榮耀為我冠冕,0.9160,,,,,,,,False
41,220.280,何等恩典  祢以尊貴榮耀為我冠冕,0.7983,,,,,,,,False
42,224.960,我的嘴  必充滿讚美,0.9994,,,,,,,,False
43,227.080,我的嘴  必充滿讚美,0.8806,,,,,,,,False
44,231.360,何等恩典  祢竟然在乎我,0.9343,,,,,,,,False
45,233.960,何等恩典  祢以尊貴榮耀為我冠冕,0.9903,,,,,,,,False
46,236.960,我的嘴  必充滿讚美,0.8989,,,,,,,,False
47,237.960,我的嘴  必充滿讚美,1.0000,,,,,,,,False
48,244.760,何等恩典  祢竟然在乎我,1.0000,,,,,,,,False
49,246.720,何等恩典  祢以尊貴榮耀為我冠冕,0.7617,,,,,,,,False
50,251.720,我的嘴  必充滿讚美,0.8520,,,,,,,,False
51,253.960,我的嘴  必充滿讚美,0.8349,,,,,,,,False
52,258.720,何等恩典  祢竟然在乎我,0.6131,,,,,,,,False
53,260.720,何等恩典  祢以尊貴榮耀為我冠冕,0.2446,,,,,,,,False
54,264.720,何等恩典  祢竟然在乎我,0.2120,,,,,,,,False
55,265.960,何等恩典  祢以尊貴榮耀為我冠冕,0.4823,,,,,,,,False
56,267.960,我的嘴  必充滿讚美,0.1360,,,,,,,,False
57,269.960,我的嘴  必充滿讚美,0.1726,,,,,,,,False
