line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,12.870,主啊  我來到祢寶座前  我心向祢敬拜,0.8714,,,,,,,,False
2,25.930,在玻璃海我要敬拜  俯伏在祢聖潔中,0.7709,,,,,,,,False
3,39.230,主啊  我來到祢寶座前  全人向祢跪拜,0.7617,,,,,,,,False
4,52.570,願尊貴  榮耀和感謝  都歸寶座被殺羔羊,0.8989,,,,,,,,False
5,64.870,神羔羊  醫治者  赦我罪  賜自由,0.9994,,,,,,,,False
6,78.230,神羔羊  醫治者  我的心稱頌,0.7577,,,,,,,,False
7,102.700,主啊  我來到祢寶座前  我心向祢敬拜,0.9171,,,,,,,,False
8,115.600,在玻璃海我要敬拜  俯伏在祢聖潔中,1.0000,,,,,,,,False
9,128.970,主啊  我來到祢寶座前  全人向祢跪拜,0.9531,,,,,,,,False
10,142.430,願尊貴  榮耀和感謝  都歸寶座被殺羔羊,0.9531,,,,,,,,False
11,154.500,神羔羊  醫治者  赦我罪  賜自由,0.9171,,,,,,,,False
12,167.770,神羔羊  醫治者  我的心稱頌,0.5566,,,,,,,,False
13,181.270,神羔羊  醫治者  赦我罪  賜自由,0.9994,,,,,,,,False
14,194.770,神羔羊  醫治者  我的心稱頌,0.9263,,,,,,,,False
15,208.200,神羔羊  醫治者  赦我罪  賜自由,0.9811,,,,,,,,False
16,221.470,神羔羊  醫治者  我的心稱頌,0.3097,,,,,,,,False
