line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,12.330,全心感謝  全心讚美  進入祢的院,0.7709,,,,,,,,False
2,18.870,全心頌讚  獻上為祭  是嘴唇的果子,0.9994,,,,,,,,False
3,25.230,在祢裡面  一無罣慮  喜樂滿溢,0.9903,,,,,,,,False
4,31.770,常常感謝  不住禱告  盼望在於祢,0.9994,,,,,,,,False
5,37.130,我要全心讚美  跳舞頌揚祢名,0.9994,,,,,,,,False
6,44.270,在祢殿中一日  勝過在世上千日,0.9629,,,,,,,,False
7,49.930,我要全心讚美  讚美還要讚美  不停,1.0000,,,,,,,,False
8,57.070,義人棚裡歡呼聲永不息,1.0000,,,,,,,,False
9,73.170,全心感謝  全心讚美  進入祢的院,0.8623,,,,,,,,False
10,79.570,全心頌讚  獻上為祭  是嘴唇的果子,0.8257,,,,,,,,False
11,86.100,在祢裡面  一無罣慮  喜樂滿溢,0.8349,,,,,,,,False
12,92.700,常常感謝  不住禱告  盼望在於祢,0.8897,,,,,,,,False
13,97.970,我要全心讚美  跳舞頌揚祢名,0.9686,,,,,,,,False
14,105.070,在祢殿中一日  勝過在世上千日,0.8897,,,,,,,,False
15,110.570,我要全心讚美  讚美還要讚美  不停,1.0000,,,,,,,,False
16,117.770,義人棚裡歡呼聲永不息,0.9714,,,,,,,,False
17,123.500,我要全心讚美  跳舞頌揚祢名,0.6520,,,,,,,,False
18,130.400,在祢殿中一日  勝過在世上千日,0.9440,,,,,,,,False
19,136.200,我要全心讚美  讚美還要讚美  不停,0.9531,,,,,,,,False
20,143.170,義人棚裡歡呼聲永不息,1.0000,,,,,,,,False
