line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,16.430,我要一心稱謝祢,0.7226,,,0.7778,,,,2.160,True
2,16.430,在諸神面前歌頌祢,0.7455,,,0.7647,,,,2.400,True
3,29.730,我要向祢的聖殿下拜,0.7566,,,0.7500,,,,2.400,True
4,36.970,為祢慈愛和誠實稱讚祢名,0.8927,,,0.9444,,,,2.800,True
5,44.130,我要一心稱謝祢,0.7947,,,0.4444,,,,2.160,True
6,44.130,在諸神面前歌頌祢,0.8117,,,0.3529,,,,2.400,True
7,57.270,我要向祢的聖殿下拜,0.9545,,,0.8333,,,,2.400,True
8,64.330,為祢慈愛和誠實稱讚祢名,0.8830,,,0.9444,,,,2.800,True
9,71.330,我要歌頌耶和華作為,0.8615,,,0.8000,,,,1.840,True
10,71.330,因祢慈愛永遠長存,0.8744,,,0.8333,,,,2.080,True
11,84.600,我雖行在困苦患難中,1.0000,,,0.7333,,,,2.960,True
12,84.600,祢應許必將我救活,1.0000,,,1.0000,,,,1.840,True
13,97.800,我要歌頌耶和華作為,0.6299,,,0.7000,,,,1.840,True
14,97.800,因祢的名大有榮耀,0.6744,,,0.4000,,,,2.160,True
15,111.100,我呼求時祢必應允我,0.7438,,,0.5833,,,,2.880,True
16,111.100,鼓勵我使我心裡有能力,0.7967,,,0.7500,,,,3.760,True
17,134.300,我要歌頌耶和華作為,0.5479,,,0.6000,,,,1.840,True
18,134.300,因祢慈愛永遠長存,0.5899,,,0.5000,,,,2.080,True
19,147.600,我雖行在困苦患難中,0.8688,,,0.6667,,,,2.960,True
20,147.600,祢應許必將我救活,0.8060,,,0.8889,,,,1.840,True
21,160.870,我要歌頌耶和華作為,0.6983,,,1.0000,,,,1.840,True
22,160.870,因祢的名大有榮耀,0.7346,,,0.8000,,,,2.160,True
23,174.200,我呼求時祢必應允我,0.8385,,,0.5833,,,,2.880,True
24,174.200,鼓勵我使我心裡有能力,0.8718,,,0.5500,,,,3.760,True
25,187.400,我要歌頌耶和華作為,1.0000,,,0.8000,,,,1.840,True
26,187.400,因祢慈愛永遠長存,1.0000,,,0.5833,,,,2.080,True
27,200.100,我雖行在困苦患難中,0.9150,,,0.8000,,,,2.960,True
28,200.100,祢應許必將我救活,0.8744,,,0.7778,,,,1.840,True
29,146.870,我要歌頌耶和華作為,0.3564,,,0.5000,,,,1.840,True
30,152.870,因祢的名大有榮耀,0.9624,,,0.8000,,,,2.160,True
31,218.230,我呼求時祢必應允我,0.3651,,,0.5833,,,,2.880,True
32,225.230,鼓勵我使我心裡有能力,0.6315,,,0.9500,,,,3.760,True
33,242.270,祢必成全關乎我的事,0.6985,,,0.9000,,,,2.160,True
34,250.370,祢必不離棄祢手所創造的,0.9503,,,0.7059,,,,3.440,True
