line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,30.000,耶穌  神的愛子,0.5606,,,,,,,,False
2,36.000,耶穌  榮耀君王,0.1269,,,,,,,,False
3,42.000,能力  權  柄  智  慧  公義,0.1269,,,,,,,,False
4,49.000,遠超過全世界,0.7709,,,,,,,,False
5,54.000,耶穌的名  超乎萬名,0.7617,,,,,,,,False
6,59.000,耶穌的名  超乎萬名,1.0000,,,,,,,,False
7,60.000,榮耀尊貴  都歸於祢,0.8251,,,,,,,,False
8,67.000,萬膝要跪拜  萬口要承認,0.9257,,,,,,,,False
9,74.000,耶穌我敬拜祢到永遠,1.0000,,,,,,,,False
10,84.000,耶穌  神的愛子,0.8623,,,,,,,,False
11,89.000,耶穌  神的愛子,0.7246,,,,,,,,False
12,90.000,耶穌  榮耀君王,0.9526,,,,,,,,False
13,93.000,萬有俯  伏在  祢腳前  世間的救贖主,0.8766,,,,,,,,False
14,108.960,疾病不能  死亡不能  勝過耶穌的名,0.7063,,,,,,,,False
15,114.000,疾病不能  死亡不能  勝過耶穌的名,0.8949,,,,,,,,False
16,119.000,世上沒有  任何困難  勝過耶穌的 名,0.6509,,,,,,,,False
17,126.920,醫治能力  救贖恩典  都因耶穌的名,1.0000,,,,,,,,False
18,131.960,耶穌的名  超乎萬名,0.7891,,,,,,,,False
19,138.180,榮耀尊貴  都歸於祢,0.6754,,,,,,,,False
20,145.020,萬膝要跪拜  萬口要承認,0.8800,,,,,,,,False
21,151.400,耶穌我敬拜祢到永遠,0.9251,,,,,,,,False
22,161.540,疾病不能  死亡不能  勝過耶穌的名,0.7800,,,,,,,,False
23,167.700,疾病不能  死亡不能  勝過耶穌的名,0.3229,,,,,,,,False
24,175.000,世上沒有  任何困難  勝過耶穌的 名,0.3194,,,,,,,,False
25,181.120,世上沒有  任何困難  勝過耶穌的 名,0.1549,,,,,,,,False
26,187.280,醫治能力  救贖恩典  都因耶穌的名,0.9434,,,,,,,,False
27,193.560,醫治能力  救贖恩典  都因耶穌的名,0.5686,,,,,,,,False
28,199.840,營壘攻破  爭戰得勝  都因耶穌的名,0.0000,,,,,,,,False
29,205.000,營壘攻破  爭戰得勝  都因耶穌的名,0.3754,,,,,,,,False
30,209.600,耶穌的名  超乎萬名,0.1909,,,,,,,,False
31,212.160,耶穌的名  超乎萬名,0.0000,,,,,,,,False
32,215.760,榮耀尊貴  都歸於祢,0.7669,,,,,,,,False
33,222.660,萬膝要跪拜  萬口要承認,0.6154,,,,,,,,False
34,229.060,耶穌我敬拜祢到永遠,0.9994,,,,,,,,False
35,234.560,萬膝要跪拜  萬口要承認,0.4783,,,,,,,,False
36,240.960,耶穌我敬拜祢到永遠,0.9343,,,,,,,,False
37,247.620,耶穌我敬拜祢到永遠,0.0000,,,,,,,,False
38,254.780,耶穌  神的愛子  耶穌  榮耀君王,0.9994,,,,,,,,False
39,260.680,耶穌  神的愛子  耶穌  榮耀君王,0.0000,,,,,,,,False
40,262.720,耶穌  神的愛子  耶穌  榮耀君王,0.0000,,,,,,,,False
41,264.520,耶穌  神的愛子  耶穌  榮耀君王,0.0000,,,,,,,,False
42,264.540,耶穌  神的愛子  耶穌  榮耀君王,0.0000,,,,,,,,False
43,271.200,耶穌  神的愛子  耶穌  榮耀君王,0.0000,,,,,,,,False
