line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,26.870,這是聖潔之地  神在這裡,0.5973,,,0.6364,,,,2.480,True
2,41.250,前來獻上最深的敬拜,0.8404,,,1.0000,,,,2.720,True
3,53.560,這是聖潔之地  神在這裡,0.5329,,,0.9091,,,,2.480,True
4,68.100,設立寶座  在榮耀的敬拜裡,0.6564,,,0.6154,,,,4.000,True
5,79.840,我全心來敬拜祢主  高舉雙手敬拜祢主,0.9465,,,1.0000,,,,4.320,True
6,92.780,在祢大能榮耀光中  我俯伏在祢寶座前,0.7173,,,0.8421,,,,4.000,True
7,106.580,我全心來敬拜祢主  高舉雙手敬拜祢主,0.8461,,,0.6316,,,,4.320,True
8,119.610,在祢大能榮耀光中,0.8873,,,0.5455,,,,2.640,True
9,127.190,我與眾天使俯伏  深深敬拜祢,0.8721,,,0.9444,,,,3.520,True
10,160.750,這是聖潔之地  神在這裡,0.8060,,,0.6364,,,,2.480,True
11,174.500,前來獻上最深的敬拜,0.8304,,,1.0000,,,,2.720,True
12,186.660,這是聖潔之地  神在這裡,0.8275,,,0.7273,,,,2.480,True
13,200.820,設立寶座  在榮耀的敬拜裡,0.6960,,,0.9231,,,,4.000,True
14,213.260,我全心來敬拜祢主  高舉雙手敬拜祢主,0.9598,,,0.8947,,,,4.320,True
15,226.210,在祢大能榮耀光中  我俯伏在祢寶座前,0.6960,,,0.5789,,,,4.000,True
16,239.930,我全心來敬拜祢主  高舉雙手敬拜祢主,0.9598,,,0.6842,,,,4.320,True
17,253.150,在祢大能榮耀光中,0.7108,,,0.5455,,,,2.640,True
18,260.050,我與眾天使俯伏,0.5734,,,0.6154,,,,1.680,True
19,266.910,我全心來敬拜祢主  高舉雙手敬拜祢主,0.9465,,,0.8421,,,,4.320,True
20,279.680,在祢大能榮耀光中  我俯伏在祢寶座前,0.5102,,,0.4211,,,,4.000,True
21,293.260,我全心來敬拜祢主  高舉雙手敬拜祢主,0.9929,,,0.6842,,,,4.320,True
22,306.730,在祢大能榮耀光中,0.5287,,,0.5455,,,,2.640,True
23,314.340,我與眾天使俯伏  深深敬拜祢,0.9756,,,0.7778,,,,3.520,True
24,326.550,我全心來敬拜祢主  高舉雙手敬拜祢主,0.4108,,,0.8947,,,,4.320,True
25,340.300,我全心來敬拜祢主  高舉雙手敬拜祢主,0.3228,,,0.8421,,,,4.320,True
26,353.830,我全心來敬拜祢主  高舉雙手敬拜祢主,0.9598,,,0.7895,,,,4.320,True
27,366.220,我全心來敬拜祢主,0.7953,,,1.0000,,,,2.480,True
28,373.760,我與眾天使俯伏  深深敬拜祢,0.8642,,,0.7222,,,,3.520,True
