line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,12.660,我的詩歌  我的拯救,0.8400,,,,,,,,False
2,19.000,祢是我患難中隨時的幫助,0.9080,,,,,,,,False
3,25.740,眾山怎樣圍繞耶路撒冷,0.8989,,,,,,,,False
4,32.360,祢必圍繞我到永遠,0.9171,,,,,,,,False
5,37.980,主祢是我力量  主祢是我高臺,0.9537,,,,,,,,False
6,45.080,堅固磐石我信靠祢必不動搖,0.9446,,,,,,,,False
7,50.580,主祢是我力量  主祢是避難所,0.8583,,,,,,,,False
8,57.680,我的盼望只在乎祢,0.9171,,,,,,,,False
9,63.600,我的詩歌  我的拯救,0.1943,,,,,,,,False
10,72.930,祢是我患難中隨時的幫助,0.9994,,,,,,,,False
11,79.590,眾山怎樣圍繞耶路撒冷,0.9811,,,,,,,,False
12,86.330,祢必圍繞我到永遠,0.9994,,,,,,,,False
13,91.850,主祢是我力量  主祢是我高臺,0.9343,,,,,,,,False
14,98.910,堅固磐石我信靠祢必不動搖,0.9811,,,,,,,,False
15,104.450,主祢是我力量  主祢是避難所,0.9343,,,,,,,,False
16,111.550,我的盼望只在乎祢,0.9994,,,,,,,,False
17,117.090,主祢是我力量  主祢是我高臺,0.9434,,,,,,,,False
18,124.150,堅固磐石我信靠祢必不動搖,0.9903,,,,,,,,False
19,129.650,主祢是我力量  主祢是避難所,0.8977,,,,,,,,False
20,136.790,我的盼望只在乎祢,0.9811,,,,,,,,False
21,150.890,我的盼望只在乎祢,0.8886,,,,,,,,False
22,158.740,我的盼望只在乎祢,0.9994,,,,,,,,False
23,164.100,主祢是我力量  主祢是我高臺,0.9811,,,,,,,,False
24,171.060,堅固磐石我信靠祢必不動搖,0.9811,,,,,,,,False
25,176.520,主祢是我力量  主祢是避難所,0.9709,,,,,,,,False
26,183.560,我的盼望只在乎祢,0.9994,,,,,,,,False
27,188.740,主祢是我力量  主祢是我高臺,0.1183,,,,,,,,False
28,202.800,堅固磐石我信靠祢必不動搖,0.9069,,,,,,,,False
29,208.000,主祢是我力量  主祢是避難所,0.9160,,,,,,,,False
30,212.800,我的盼望只在乎祢,0.8051,,,,,,,,False
31,217.800,我的盼望只在乎祢,0.9994,,,,,,,,False
32,220.800,我的盼望只在乎祢,0.0903,,,,,,,,False
33,232.580,我的盼望只在乎祢,0.3737,,,,,,,,False
34,233.580,我的盼望只在乎祢,0.9223,,,,,,,,False
35,234.180,我的盼望只在乎祢,0.1543,,,,,,,,False
36,253.690,我的盼望只在乎祢,0.9040,,,,,,,,False
