line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,22.720,我可以擁有全世界  卻沒有愛,0.9343,,,,,,,,False
2,29.600,我可以明白所有事  卻還是空白,0.1766,,,,,,,,False
3,36.400,我可以用信心移山  卻還是孤單,0.9720,,,,,,,,False
4,42.800,這世界沒有了愛  一切  仍是黑白,0.9720,,,,,,,,False
5,53.120,不要埋藏在心裡  把愛說出來,0.9720,,,,,,,,False
6,59.520,不要埋藏在心裡  把愛說出來,1.0000,,,,,,,,False
7,59.580,不要埋藏在心裡  把愛說出來,1.0000,,,,,,,,False
8,59.600,不要默默在一旁  把愛活出來,1.0000,,,,,,,,False
9,67.600,喔愛  可以再更多一點點,0.0000,,,,,,,,False
10,75.600,不怕被傷害  把靈魂鎖起來,0.4000,,,,,,,,False
11,81.600,愛  可以再更多一點點,0.0000,,,,,,,,False
12,89.580,從天父來的愛  把懼怕挪開,0.3006,,,,,,,,False
13,95.580,發現  幸福在轉角與你相遇,0.8440,,,,,,,,False
14,103.580,一瞬間  這世界變得好美,0.2131,,,,,,,,False
15,119.580,我可以擁有全世界  卻沒有愛,0.0000,,,,,,,,False
16,121.580,我可以擁有全世界  卻沒有愛,0.3411,,,,,,,,False
17,123.580,我可以擁有全世界  卻沒有愛,0.9080,,,,,,,,False
18,125.580,我可以擁有全世界  卻沒有愛,0.8440,,,,,,,,False
19,129.580,我可以擁有全世界  卻沒有愛,0.0000,,,,,,,,False
20,133.580,我可以擁有全世界  卻沒有愛,0.9994,,,,,,,,False
21,137.620,我可以明白所有事  卻還是空白,1.0000,,,,,,,,False
22,142.980,我可以用信心移山  卻還是孤單,0.8800,,,,,,,,False
23,147.580,這世界沒有了愛  一切  仍是黑白,0.9537,,,,,,,,False
24,154.300,不要埋藏在心裡  把愛說出來,0.9720,,,,,,,,False
25,161.140,不要默默在一旁  把愛活出來,0.2366,,,,,,,,False
26,171.100,喔愛  可以再更多一點點,0.0000,,,,,,,,False
27,179.580,不怕被傷害  把靈魂鎖起來,0.8623,,,,,,,,False
28,186.700,愛  可以再更多一點點,0.3400,,,,,,,,False
29,193.180,從天父來的愛  把懼怕挪開,0.8531,,,,,,,,False
30,200.060,發現  幸福在轉角與你相遇,0.9343,,,,,,,,False
31,201.020,發現  幸福在轉角與你相遇,0.9903,,,,,,,,False
32,201.060,發現  幸福在轉角與你相遇,0.9994,,,,,,,,False
33,201.080,喔愛  可以再更多一點點,0.9069,,,,,,,,False
34,210.160,不怕被傷害  把靈魂鎖起來,0.0000,,,,,,,,False
35,220.940,喔愛  可以再更多一點點,0.9720,,,,,,,,False
36,227.940,不怕被傷害  把靈魂鎖起來,0.8571,,,,,,,,False
37,231.940,愛  可以再更多一點點,0.0000,,,,,,,,False
38,237.940,從天父來的愛  把懼怕挪開,0.3737,,,,,,,,False
39,244.940,發現  幸福在轉角與你相遇,0.9263,,,,,,,,False
40,256.940,一瞬間  這世界變得好美,0.6663,,,,,,,,False
41,274.940,一瞬間  這世界變得好美,0.0000,,,,,,,,False
