line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,0.000,主耶穌  我感謝祢,0.0000,,,,,,,,False
2,18.000,祢的身體  為我而捨,0.6937,,,,,,,,False
3,25.000,帶我出黑暗  進入光明國度,0.8623,,,,,,,,False
4,33.000,使我再次能看見,0.5606,,,,,,,,False
5,39.000,主耶穌  我感謝祢,0.4651,,,,,,,,False
6,45.000,祢的寶血  為我而流,0.8611,,,,,,,,False
7,52.000,寶貴十架上  醫治恩典湧流,0.9714,,,,,,,,False
8,54.000,寶貴十架上  醫治恩典湧流,0.3960,,,,,,,,False
9,55.000,寶貴十架上  醫治恩典湧流,0.6794,,,,,,,,False
10,60.000,使我完全得自由,0.8166,,,,,,,,False
11,65.000,寶貴十架的大能賜我生命,0.7709,,,,,,,,False
12,72.000,主耶穌我俯伏敬拜祢,0.8531,,,,,,,,False
13,78.000,寶貴十架的救恩是祢所立的約,0.7611,,,,,,,,False
14,82.000,寶貴十架的救恩是祢所立的約,0.9903,,,,,,,,False
15,84.000,祢的愛永遠不會改變,0.9531,,,,,,,,False
16,88.000,祢的愛永遠不會改變,0.9811,,,,,,,,False
17,96.000,主耶穌  我感謝祢,0.7486,,,,,,,,False
18,102.000,祢的身體  為我而捨,0.8857,,,,,,,,False
19,109.000,帶我出黑暗  進入光明國度,0.8857,,,,,,,,False
20,113.000,使我再次能看見,0.0000,,,,,,,,False
21,123.000,主耶穌  我感謝祢,0.2943,,,,,,,,False
22,129.000,祢的寶血  為我而流,1.0000,,,,,,,,False
23,136.000,寶貴十架上  醫治恩典湧流,0.9440,,,,,,,,False
24,139.000,寶貴十架上  醫治恩典湧流,0.9223,,,,,,,,False
25,143.000,使我完全得自由,0.5789,,,,,,,,False
26,149.000,寶貴十架的大能賜我生命,0.9720,,,,,,,,False
27,156.000,主耶穌我俯伏敬拜祢,0.9811,,,,,,,,False
28,162.000,寶貴十架的救恩是祢所立的約,0.8806,,,,,,,,False
29,166.000,寶貴十架的救恩是祢所立的約,0.9994,,,,,,,,False
30,170.000,祢的愛永遠不會改變,1.0000,,,,,,,,False
31,176.000,寶貴十架的大能賜我生命,0.9537,,,,,,,,False
32,183.000,主耶穌我俯伏敬拜祢,0.9171,,,,,,,,False
33,189.000,寶貴十架的救恩是祢所立的約,0.9720,,,,,,,,False
34,193.000,寶貴十架的救恩是祢所立的約,0.9594,,,,,,,,False
35,196.000,祢的愛永遠不會改變,0.9623,,,,,,,,False
36,202.000,寶貴十架的大能賜我生命,0.8806,,,,,,,,False
37,209.000,主耶穌我俯伏敬拜祢,0.8989,,,,,,,,False
38,215.000,寶貴十架的救恩是祢所立的約,0.7891,,,,,,,,False
39,219.000,寶貴十架的救恩是祢所立的約,0.9720,,,,,,,,False
40,223.000,祢的愛永遠不會改變,0.7211,,,,,,,,False
41,226.000,祢的愛永遠不會改變,0.0000,,,,,,,,False
42,237.000,祢的愛永遠不會改變,0.7709,,,,,,,,False
