line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,28.940,我愛祢  我的主,0.3075,0.9566,0.4661,0.3750,-0.2928,0.140,,1.360,True
2,35.900,我愛祢  我的主,0.3108,0.9631,0.4473,0.7500,0.0000,0.060,,1.360,True
3,42.790,獻上一切  願祢喜悅,0.9315,0.9737,0.4988,0.8667,0.5388,0.637,,2.800,True
4,46.550,我愛祢  我的主,1.0000,0.9562,0.4893,0.6250,-0.2928,3.450,,1.360,True
5,49.990,單單愛祢   單單愛祢,0.1090,0.9491,0.4689,0.5000,0.3536,5.770,,2.400,True
6,54.390,祢是唯一,0.0000,0.9404,0.4800,1.0000,-0.3015,4.890,,1.040,True
7,57.110,單單愛祢  單單愛祢,0.7248,0.9652,0.4991,0.6250,0.0000,2.650,,2.800,True
8,63.350,全心全意,0.5444,0.9298,0.4766,0.8333,-0.3015,3.590,,1.120,True
9,64.150,我愛祢  我的主,0.7903,0.9582,0.4573,0.6250,-0.2928,2.653,,1.360,True
10,70.150,我愛祢  我的主,0.4656,0.9633,0.4805,0.6250,-0.4629,6.048,,1.360,True
11,71.170,聽祢聲音  行出真理,0.8226,0.9659,0.4938,0.5333,-0.5517,0.050,,2.240,True
12,74.610,我愛祢  我的主,0.9473,0.9577,0.4762,1.0000,0.0000,3.550,,1.360,True
13,78.130,我愛祢  我的主,0.2419,0.9647,0.4508,0.6250,,54.830,,1.360,True
14,84.530,我愛祢  我的主,0.1871,0.9359,0.4921,0.8750,0.0000,72.094,,1.360,True
15,85.410,我 靈歌唱  尊祢  為大,0.6137,0.9492,0.4979,0.6000,-0.3015,76.590,,2.720,True
16,89.330,我愛祢  我的主,0.1710,0.9184,0.4604,0.7500,-0.6547,75.630,,1.360,True
17,92.300,我愛祢  我的主,0.3419,0.9616,0.4878,0.6250,0.2182,80.340,,1.360,True
18,99.420,我愛祢  我的主,0.3075,0.9648,0.4907,0.5000,-0.2928,74.020,,1.360,True
19,99.420,獻上一切  願祢喜悅,0.4824,0.9749,0.4997,0.3333,0.3246,84.020,,2.800,True
20,106.460,我愛祢  我的主,0.0000,0.9605,0.4633,0.5000,-0.2928,87.220,,1.360,True
21,114.030,單單愛祢   單單愛祢,0.0000,0.9513,0.4981,0.6667,0.5345,84.610,,2.400,True
22,115.390,祢是唯一,0.0000,0.9467,0.4882,0.8571,-0.5222,83.961,,1.040,True
23,117.550,單單愛祢  單單愛祢,0.0000,0.9768,0.4996,0.5000,-0.3651,82.104,,2.800,True
24,121.710,全心全意,1.0000,0.9388,0.4686,1.0000,-0.9045,79.730,,1.120,True
25,128.110,我愛祢  我的主,0.0000,0.9623,0.4633,0.6250,-0.9258,74.098,,1.360,True
26,131.550,我愛祢  我的主,0.0000,0.9653,0.4360,0.7500,-0.2182,71.810,,1.360,True
27,131.630,聽祢聲音  行出真理,0.0000,0.9635,0.5000,0.8000,0.2085,74.240,,2.240,True
28,142.170,我愛祢  我的主,0.9817,0.9535,0.4893,0.7500,-0.8783,63.990,,1.360,True
29,145.690,我愛祢  我的主,1.0000,0.9547,0.4762,1.0000,-0.2182,60.470,,1.360,True
30,145.690,我愛祢  我的主,1.0000,0.9547,0.4762,1.0000,-0.2182,60.470,,1.360,True
31,149.290,我 靈歌唱  尊祢  為大,0.6435,0.9597,0.4964,0.5000,0.0778,61.974,,2.720,True
32,155.130,我愛祢  我的主,0.3796,0.9581,0.4954,0.1250,0.2182,59.238,,1.360,True
33,156.330,我愛祢  我的主,0.8946,0.9638,0.4508,0.3750,-0.2928,61.910,,1.360,True
34,159.770,我愛祢  我的主,1.0000,0.9501,0.4784,0.8750,0.2928,58.470,,1.360,True
35,159.850,獻上一切  願祢喜悅,0.5503,0.9745,0.4965,0.4000,-0.3246,58.390,,2.800,True
36,170.480,我愛祢  我的主,0.9989,0.9494,0.4933,0.7500,0.0000,47.760,,1.360,True
37,173.920,單單愛祢   單單愛祢,0.7827,0.9523,0.4917,0.8333,-0.7071,44.320,,2.400,True
38,177.440,祢是唯一,0.5766,0.9452,0.4800,0.8571,-0.3015,40.800,,1.040,True
39,184.480,單單愛祢  單單愛祢,0.8036,0.9639,0.4984,0.3750,0.3536,33.760,,2.800,True
40,188.000,全心全意,0.9790,0.9398,0.4593,0.8333,,30.240,,1.120,True
41,198.630,我愛祢  我的主,0.8591,0.9631,0.4688,0.5000,0.2928,19.610,,1.360,True
42,202.070,我愛祢  我的主,0.9645,0.9612,0.4805,0.8750,0.4629,16.170,,1.360,True
43,202.070,聽祢聲音  行出真理,0.9328,0.9608,0.4994,0.8667,0.0788,16.170,,2.240,True
44,211.670,我愛祢  我的主,0.4140,0.9522,0.4762,0.5000,0.0000,6.570,,1.360,True
45,212.790,我愛祢  我的主,0.9989,0.9599,0.4604,0.5000,-0.2928,5.450,,1.360,True
46,216.150,我愛祢  我的主,0.9301,0.9666,0.4508,0.5000,0.2928,2.090,,1.360,True
47,216.310,我 靈歌唱  尊祢  為大,0.2373,0.9590,0.4958,0.4000,0.0000,1.930,,2.720,True
48,225.830,我愛祢  我的主,0.6011,0.9581,0.4878,0.3750,0.4629,7.590,,1.360,True
49,226.950,我愛祢  我的主,1.0000,0.9563,0.4399,0.7500,0.2928,8.710,,1.360,True
50,228.390,我愛祢  我的主,0.5839,0.9616,0.4954,0.8750,0.4629,4.950,,1.360,True
51,230.470,獻上一切  願祢喜悅,0.4727,0.9767,0.4877,0.7333,-0.6956,1.690,,2.800,True
52,231.910,我愛祢  我的主,0.2226,0.9645,0.4907,0.6250,-0.4629,0.250,,1.360,True
53,232.310,單單愛祢   單單愛祢,0.1166,0.9402,0.4562,0.8333,-0.3651,0.150,,2.400,True
54,234.710,祢是唯一,0.6831,0.9501,0.4864,1.0000,-0.3015,2.550,,1.040,True
55,240.550,單單愛祢  單單愛祢,0.8539,0.9736,0.4924,0.7500,-0.4082,8.390,,2.800,True
56,241.010,全心全意,0.7481,0.9176,0.4485,0.6667,,8.850,,1.120,True
57,242.930,我愛祢  我的主,0.0000,0.9589,0.4762,0.8750,-0.6547,10.770,,1.360,True
58,244.610,我愛祢  我的主,1.0000,0.9597,0.4907,0.7500,-0.4629,12.450,,1.360,True
59,254.530,聽祢聲音  行出真理,0.2438,0.9603,0.4998,0.5333,-0.6999,22.370,,2.240,True
60,255.150,我愛祢  我的主,0.3419,0.9568,0.4933,0.7500,-0.4629,22.990,,1.360,True
61,258.350,我愛祢  我的主,0.7204,0.9607,0.4661,0.7500,0.2182,26.190,,1.360,True
62,258.670,我愛祢  我的主,0.3591,0.9638,0.4508,0.8750,-0.2182,26.510,,1.360,True
63,267.950,我 靈歌唱  尊祢  為大,0.1379,0.9107,0.4983,0.2000,-0.1741,35.790,,2.720,True
