line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,0.000,祢仰臉保守祢所愛的,0.0000,,,,,,,,False
2,20.000,祢護庇永遠不離不棄,0.7423,,,,,,,,False
3,27.000,祢將我從淤泥裡捧起,1.0000,,,,,,,,False
4,33.000,放我在祢的手心,0.5960,,,,,,,,False
5,40.000,我憑著信心領取  祢豐盛的應許,0.9446,,,,,,,,False
6,43.000,世界也不能奪去  神美好的旨意,0.9354,,,,,,,,False
7,46.000,我憑著信心領取  祢恩典永不止息,1.0000,,,,,,,,False
8,50.000,看見美好應許成就  榮耀全都歸於祢,1.0000,,,,,,,,False
9,53.000,祢仰臉保守祢所愛的,1.0000,,,,,,,,False
10,56.000,祢護庇永遠不離不棄,0.7526,,,,,,,,False
11,59.000,祢將我從淤泥裡捧起,0.6611,,,,,,,,False
12,63.000,放我在祢的手心,1.0000,,,,,,,,False
13,80.000,我憑著信心領取  祢豐盛的應許,0.9069,,,,,,,,False
14,86.000,世界也不能奪去  神美好的旨意,0.7526,,,,,,,,False
15,93.000,我憑著信心領取  祢恩典永不止息,0.9440,,,,,,,,False
16,100.000,看見美好應許成就  榮耀全都歸於祢,0.6417,,,,,,,,False
17,106.000,我等候主我相信  祢愛我永不放棄,0.8434,,,,,,,,False
18,109.000,世界也不能奪去  神美好的旨意,0.9434,,,,,,,,False
19,113.000,我等候主我相信  祢旨意高過我的,0.9714,,,,,,,,False
20,116.000,看見美好應許成就  我全心全意敬拜祢,0.8897,,,,,,,,False
21,119.000,祢仰臉保守祢所愛的,0.7520,,,,,,,,False
22,122.000,祢護庇永遠不離不棄,0.9994,,,,,,,,False
23,126.000,祢將我從淤泥裡捧起,0.6429,,,,,,,,False
24,129.000,放我在祢的手心,0.9263,,,,,,,,False
25,136.000,我憑著信心領取  祢豐盛的應許,0.7709,,,,,,,,False
26,139.000,世界也不能奪去  神美好的旨意,0.7880,,,,,,,,False
27,143.000,我憑著信心領取  祢恩典永不止息,1.0000,,,,,,,,False
28,145.000,看見美好應許成就  榮耀全都歸於祢,0.7983,,,,,,,,False
29,147.000,我等候主我相信  祢愛我永不放棄,0.9531,,,,,,,,False
30,149.000,世界也不能奪去  神美好的旨意,0.6429,,,,,,,,False
31,152.000,我等候主我相信  祢旨意高過我的,0.9251,,,,,,,,False
32,155.000,看見美好應許成就  我全心全意敬拜祢,0.3777,,,,,,,,False
33,165.000,我等候主我相信  祢愛我永不放棄,0.5234,,,,,,,,False
34,169.000,世界也不能奪去  神美好的旨意,0.6977,,,,,,,,False
35,172.000,我等候主我相信  祢旨意高過我的,0.7331,,,,,,,,False
36,174.000,看見美好應許成就  我全心全意敬拜祢,0.9994,,,,,,,,False
37,177.000,我等候主我相信  祢愛我永不放棄,0.9994,,,,,,,,False
38,179.000,世界也不能奪去  神美好的旨意,0.6611,,,,,,,,False
39,182.000,我等候主我相信  祢旨意高過我的,0.9903,,,,,,,,False
40,185.000,看見美好應許成就  我全心全意敬拜祢,0.4691,,,,,,,,False
41,198.000,看見美好應許成就  我全心全意敬拜祢,0.4869,,,,,,,,False
42,200.000,看見美好應許成就  我全心全意敬拜祢,0.9629,,,,,,,,False
43,203.000,看見美好應許成就  我全心全意敬拜祢,1.0000,,,,,,,,False
