line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,28.000,開我的眼睛 讓我看見祢,0.1806,,,,,,,,False
2,34.000,祢榮美彰顯吸引我心,0.5686,,,,,,,,False
3,41.000,開我的耳朵 讓我聽見祢,0.2811,,,,,,,,False
4,48.000,每句話都讓我更愛祢,0.6520,,,,,,,,False
5,58.000,活著為要敬拜祢,0.5789,,,,,,,,False
6,65.000,活著為要全心來愛祢,0.6063,,,,,,,,False
7,72.000,俯伏在祢榮耀中,0.6057,,,,,,,,False
8,77.000,祢的榮美 無人能及,0.6794,,,,,,,,False
9,86.000,活著為要敬拜祢,0.7703,,,,,,,,False
10,87.000,活著為要全心來愛祢,0.9354,,,,,,,,False
11,88.000,活著為要敬拜祢,0.9720,,,,,,,,False
12,94.000,活著為要全心來愛祢,0.9446,,,,,,,,False
13,101.000,永遠住在祢殿中,0.9811,,,,,,,,False
14,106.000,昔在今在永在的主,1.0000,,,,,,,,False
15,115.000,我愛祢,0.3097,,,,,,,,False
16,117.000,喔  我愛祢,0.2183,,,,,,,,False
17,118.400,喔  全心敬拜祢,0.0000,,,,,,,,False
18,121.000,日夜不停歌唱,0.0000,,,,,,,,False
19,122.000,哈利路亞  我愛祢,0.0000,,,,,,,,False
20,140.000,喔  我愛祢,0.1583,,,,,,,,False
21,145.000,喔  全心敬拜祢,0.0817,,,,,,,,False
22,146.000,日夜不停歌唱,0.3640,,,,,,,,False
23,156.160,哈利路亞  我愛祢,0.9714,,,,,,,,False
24,160.840,喔  我愛祢,0.9903,,,,,,,,False
25,166.920,喔  全心敬拜祢,0.0000,,,,,,,,False
26,176.080,日夜不停歌唱,0.6977,,,,,,,,False
27,182.920,哈利路亞  我愛祢,0.7343,,,,,,,,False
28,188.040,喔  我愛祢,1.0000,,,,,,,,False
29,193.980,喔  全心敬拜祢,0.0000,,,,,,,,False
30,196.900,日夜不停歌唱,0.9903,,,,,,,,False
31,196.920,哈利路亞  我愛祢,0.9903,,,,,,,,False
32,203.120,我愛祢,0.2589,,,,,,,,False
33,210.720,喔  我愛祢,0.9994,,,,,,,,False
34,214.840,喔  全心敬拜祢,1.0000,,,,,,,,False
35,217.300,日夜不停歌唱,0.3674,,,,,,,,False
36,221.080,哈利路亞  我愛祢,0.2646,,,,,,,,False
37,224.080,喔  我愛祢,0.2366,,,,,,,,False
38,226.060,喔  全心敬拜祢,0.0000,,,,,,,,False
39,226.900,日夜不停歌唱,0.0000,,,,,,,,False
40,230.700,哈利路亞  我愛祢,0.9623,,,,,,,,False
41,237.300,喔  我愛祢,0.9720,,,,,,,,False
42,241.940,喔  全心敬拜祢,0.9720,,,,,,,,False
43,245.340,日夜不停歌唱,0.8217,,,,,,,,False
44,250.700,哈利路亞  我愛祢,0.0000,,,,,,,,False
45,256.900,我愛祢,0.0000,,,,,,,,False
46,258.660,喔  我愛祢,0.1034,,,,,,,,False
47,261.800,喔  全心敬拜祢,0.1543,,,,,,,,False
48,266.700,日夜不停歌唱,0.0000,,,,,,,,False
49,267.280,哈利路亞  我愛祢,0.0000,,,,,,,,False
50,268.100,喔  我愛祢,0.0000,,,,,,,,False
51,269.100,喔  全心敬拜祢,0.0000,,,,,,,,False
52,270.040,日夜不停歌唱,0.0000,,,,,,,,False
53,271.120,哈利路亞  我愛祢,0.0000,,,,,,,,False
54,271.820,喔  我愛祢,0.0000,,,,,,,,False
55,272.680,喔  全心敬拜祢,0.0000,,,,,,,,False
56,273.240,日夜不停歌唱,0.0000,,,,,,,,False
57,273.880,哈利路亞  我愛祢,0.0000,,,,,,,,False
58,274.340,喔  我愛祢,0.0000,,,,,,,,False
59,275.040,喔  全心敬拜祢,0.0000,,,,,,,,False
60,275.560,日夜不停歌唱,0.0000,,,,,,,,False
61,276.360,哈利路亞  我愛祢,0.0000,,,,,,,,False
62,277.020,喔  我愛祢,0.0000,,,,,,,,False
63,278.200,喔  全心敬拜祢,0.0000,,,,,,,,False
64,279.600,日夜不停歌唱,0.0000,,,,,,,,False
65,279.780,哈利路亞  我愛祢,0.0000,,,,,,,,False
66,283.140,喔  我愛祢,0.0000,,,,,,,,False
67,284.040,喔  全心敬拜祢,0.0000,,,,,,,,False
68,284.720,日夜不停歌唱,0.0000,,,,,,,,False
69,286.340,哈利路亞  我愛祢,0.0000,,,,,,,,False
