line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,15.000,我要專心仰賴祢  不倚靠自己的聰明,0.8217,,,,,,,,False
2,18.000,不倚靠自己的聰明,0.8440,,,,,,,,False
3,22.000,在所行的事  都要認定祢,0.9446,,,,,,,,False
4,29.000,我要專心跟隨祢  不倚靠自己的能力,0.9171,,,,,,,,False
5,32.000,不倚靠自己的能力,0.8440,,,,,,,,False
6,36.000,在所行的路  祢必指引,0.8440,,,,,,,,False
7,43.000,將祢的話語繫在頸項上  刻在心版上,0.9720,,,,,,,,False
8,47.000,刻在心版上,0.8806,,,,,,,,False
9,50.000,主啊  我站立敬畏祢,0.7057,,,,,,,,False
10,57.000,祢是道路真理和生命,0.8531,,,,,,,,False
11,59.000,和生命,0.5594,,,,,,,,False
12,61.000,走近祢心意,0.9903,,,,,,,,False
13,64.000,獻上一  切  主啊  我尊榮祢,0.9629,,,,,,,,False
14,66.000,主啊  我尊榮祢,0.9994,,,,,,,,False
15,86.000,我要專心仰賴祢  不倚靠自己的聰明,0.9994,,,,,,,,False
16,88.000,不倚靠自己的聰明,0.6886,,,,,,,,False
17,92.000,在所行的事  都要認定祢,0.7069,,,,,,,,False
18,99.000,我要專心跟隨祢  不倚靠自己的能力,0.7526,,,,,,,,False
19,102.000,不倚靠自己的能力,0.6520,,,,,,,,False
20,106.000,在所行的路  祢必指引,0.7434,,,,,,,,False
21,113.000,將祢的話語繫在頸項上  刻在心版上,0.8349,,,,,,,,False
22,117.000,刻在心版上,0.9994,,,,,,,,False
23,121.000,主啊  我站立敬畏祢,0.9903,,,,,,,,False
24,128.000,祢是道路真理和生命,0.9903,,,,,,,,False
25,130.000,和生命,0.6051,,,,,,,,False
26,132.000,走近祢心意,0.9811,,,,,,,,False
27,135.000,獻上一  切  主啊  我尊榮祢,0.9537,,,,,,,,False
28,137.000,主啊  我尊榮祢,0.8766,,,,,,,,False
29,142.000,將祢的話語繫在頸項上  刻在心版上,0.9994,,,,,,,,False
30,146.000,刻在心版上,0.9903,,,,,,,,False
31,150.000,主啊  我站立敬畏祢,0.6429,,,,,,,,False
32,156.000,祢是道路真理和生命,0.9171,,,,,,,,False
33,160.000,走近祢心意,0.8154,,,,,,,,False
34,163.000,獻上一  切  主啊  我尊榮祢,1.0000,,,,,,,,False
35,165.000,主啊  我尊榮祢,0.4743,,,,,,,,False
36,170.000,獻上一  切  主啊  我尊榮祢,0.9811,,,,,,,,False
37,172.000,主啊  我尊榮祢,0.9811,,,,,,,,False
38,177.000,獻上一  切  主啊  我尊榮祢,0.9811,,,,,,,,False
39,179.000,主啊  我尊榮祢,0.6051,,,,,,,,False
