line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,15.000,求祢降下同在,0.3137,,,,,,,,False
2,21.000,在祢子民的敬拜中,0.8806,,,,,,,,False
3,29.000,求祢顯出榮耀,0.3497,,,,,,,,False
4,35.000,在祢子民的讚美中,0.9629,,,,,,,,False
5,42.000,我要看見　我要看見,0.8989,,,,,,,,False
6,49.000,如同摩西看見祢的榮耀,0.7709,,,,,,,,False
7,56.000,我要看見　我要看見,0.8440,,,,,,,,False
8,59.000,我要看見,0.9629,,,,,,,,False
9,63.000,這世代要看見祢榮耀,0.7160,,,,,,,,False
10,84.000,我要看見,0.5383,,,,,,,,False
11,89.000,這世代要看見祢榮耀,0.0000,,,,,,,,False
12,99.000,求祢降下同在,0.4503,,,,,,,,False
13,105.000,在祢子民的敬拜中,0.8897,,,,,,,,False
14,112.000,求祢顯出榮耀,0.4731,,,,,,,,False
15,118.000,在祢子民的敬拜中,0.8349,,,,,,,,False
16,125.000,我要看見　我要看見,1.0000,,,,,,,,False
17,132.000,如同摩西看見祢的榮耀,0.9171,,,,,,,,False
18,138.000,我要看見　我要看見,0.6886,,,,,,,,False
19,146.000,這世代要看見祢榮耀,0.8714,,,,,,,,False
20,153.000,我要看見　我要看見,0.8989,,,,,,,,False
21,160.000,如同摩西看見祢的榮耀,0.9720,,,,,,,,False
22,166.000,我要看見　我要看見,0.9537,,,,,,,,False
23,173.000,這世代要看見祢榮耀,0.7880,,,,,,,,False
24,183.000,我們呼求祢的名　求祢恩待我們,0.6063,,,,,,,,False
25,187.000,求祢恩待我們,0.9080,,,,,,,,False
26,191.000,我們宣告祢的名　求祢憐憫我們,0.8714,,,,,,,,False
27,194.000,求祢憐憫我們,1.0000,,,,,,,,False
28,198.000,求祢與我們同行　使我們得安息,0.9354,,,,,,,,False
29,201.000,使我們得安息,1.0000,,,,,,,,False
30,204.000,在祢眼前蒙恩,0.8989,,,,,,,,False
31,207.000,在祢眼前蒙恩,0.2366,,,,,,,,False
32,210.000,我要看見　我要看見,0.5514,,,,,,,,False
33,218.000,如同摩西看見祢的榮耀,1.0000,,,,,,,,False
34,223.000,我要看見　我要看見,0.0000,,,,,,,,False
35,227.000,我要看見,0.7434,,,,,,,,False
36,230.000,這世代要看見祢榮耀,0.3777,,,,,,,,False
37,238.000,我要看見　我要看見,0.9720,,,,,,,,False
38,245.000,如同摩西看見祢的榮耀,0.7709,,,,,,,,False
39,252.000,我要看見　我要看見,0.9446,,,,,,,,False
40,259.000,這世代要看見祢榮耀,0.9629,,,,,,,,False
41,266.000,這世代要看見祢榮耀,0.9994,,,,,,,,False
42,273.000,這世代要看見祢榮耀,0.8897,,,,,,,,False
43,289.000,我要看見　我要看見,0.0000,,,,,,,,False
