line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,16.430,我要一心稱謝祢,0.7226,0.9432,0.4959,0.7778,-0.7500,0.770,,2.160,True
2,16.430,在諸神面前歌頌祢,0.7455,0.9418,0.4995,0.7647,-0.2981,7.090,,2.400,True
3,29.730,我要向祢的聖殿下拜,0.7566,0.9610,0.4951,0.7500,,0.750,,2.400,True
4,36.970,為祢慈愛和誠實稱讚祢名,0.8927,0.9660,0.4999,0.9444,-0.4421,1.750,,2.800,True
5,44.130,我要一心稱謝祢,0.7947,0.9680,0.4966,0.4444,0.2582,0.814,,2.160,True
6,44.130,在諸神面前歌頌祢,0.8117,0.9609,0.4907,0.3529,0.0000,6.830,,2.400,True
7,57.270,我要向祢的聖殿下拜,0.9545,0.9703,0.4976,0.8333,-0.1336,0.570,,2.400,True
8,64.330,為祢慈愛和誠實稱讚祢名,0.8830,0.9630,0.4980,0.9444,0.1079,0.890,,2.800,True
9,71.330,我要歌頌耶和華作為,0.8615,0.9469,0.4995,0.8000,0.0271,0.670,,1.840,True
10,71.330,因祢慈愛永遠長存,0.8744,0.9492,0.5000,0.8333,0.1741,7.230,,2.080,True
11,84.600,我雖行在困苦患難中,1.0000,0.9690,0.4843,0.7333,-0.2887,1.080,,2.960,True
12,84.600,祢應許必將我救活,1.0000,0.9570,0.4873,1.0000,0.3892,7.320,,1.840,True
13,97.800,我要歌頌耶和華作為,0.6299,0.9465,0.4989,0.7000,0.3430,0.840,,1.840,True
14,97.800,因祢的名大有榮耀,0.6744,0.9431,0.4996,0.4000,0.0000,6.005,,2.160,True
15,111.100,我呼求時祢必應允我,0.7438,0.9601,0.4967,0.5833,-0.0898,0.780,,2.880,True
16,111.100,鼓勵我使我心裡有能力,0.7967,0.9689,0.4888,0.7500,0.3067,4.980,,3.760,True
17,134.300,我要歌頌耶和華作為,0.5479,0.9421,0.4993,0.6000,0.5152,14.185,,1.840,True
18,134.300,因祢慈愛永遠長存,0.5899,0.9369,0.4950,0.5000,0.5449,7.900,,2.080,True
19,147.600,我雖行在困苦患難中,0.8688,0.9709,0.4994,0.6667,0.1091,18.960,,2.960,True
20,147.600,祢應許必將我救活,0.8060,0.9470,0.4998,0.8889,-0.2335,10.800,,1.840,True
21,160.870,我要歌頌耶和華作為,0.6983,0.9462,0.4979,1.0000,-0.0857,20.070,,1.840,True
22,160.870,因祢的名大有榮耀,0.7346,0.9437,0.4996,0.8000,-0.2981,20.070,,2.160,True
23,174.200,我呼求時祢必應允我,0.8385,0.9514,0.4994,0.5833,0.1136,33.400,,2.880,True
24,174.200,鼓勵我使我心裡有能力,0.8718,0.9555,0.4997,0.5500,0.3067,33.400,,3.760,True
25,187.400,我要歌頌耶和華作為,1.0000,0.9538,0.4858,0.8000,0.0857,44.680,,1.840,True
26,187.400,因祢慈愛永遠長存,1.0000,0.9496,0.4971,0.5833,-0.4045,44.680,,2.080,True
27,200.100,我雖行在困苦患難中,0.9150,0.9594,0.5000,0.8000,-0.7303,57.380,,2.960,True
28,200.100,祢應許必將我救活,0.8744,0.9422,0.4989,0.7778,0.3892,57.380,,1.840,True
29,146.870,我要歌頌耶和華作為,0.3564,0.9431,0.4998,0.5000,0.6002,4.150,,1.840,True
30,152.870,因祢的名大有榮耀,0.9624,0.9412,0.4998,0.8000,0.0000,10.150,,2.160,True
31,218.230,我呼求時祢必應允我,0.3651,0.9561,0.4996,0.5833,0.5431,75.510,,2.880,True
32,225.230,鼓勵我使我心裡有能力,0.6315,0.9680,0.4965,0.9500,0.4685,82.510,,3.760,True
33,242.270,祢必成全關乎我的事,0.6985,0.9543,0.4978,0.9000,0.2887,99.550,,2.160,True
34,250.370,祢必不離棄祢手所創造的,0.9503,0.9627,0.4899,0.7059,0.0729,25.650,,3.440,True
