line_idx,t_lrc,text,voiced_frac,dtw_path_cosine,dtw_slope_dev,onset_match_ratio,tone_corr,qwen3_drift,mfa_drift,tts_duration,tts_cache_hit
1,0.000,主我們敬拜祢  有尊榮和威嚴在祢  面前,0.0000,,,,,,,,False
2,17.180,主我們敬拜祢  有尊榮和威嚴在祢  面前,0.9714,,,,,,,,False
3,22.340,當以聖潔為妝飾敬拜,0.8526,,,,,,,,False
4,27.000,主我們敬拜祢  有能力和華美在祢  聖所,0.8034,,,,,,,,False
5,30.320,主我們敬拜祢  有能力和華美在祢  聖所,0.8897,,,,,,,,False
6,35.920,當以聖潔為妝飾敬拜祢,0.8714,,,,,,,,False
7,41.920,願天歡喜  願地快樂,0.8943,,,,,,,,False
8,48.720,願海和其中所  充滿的澎湃,0.8897,,,,,,,,False
9,54.720,願天歡喜  願地快樂,0.8400,,,,,,,,False
10,56.980,願田和其中所  有都快樂,0.7154,,,,,,,,False
11,60.300,哈利路亞  耶和華作王,0.5331,,,,,,,,False
12,77.200,主我們敬拜祢  有尊榮和威嚴在祢  面前,0.5423,,,,,,,,False
13,80.540,主我們敬拜祢  有尊榮和威嚴在祢  面前,0.8794,,,,,,,,False
14,85.660,主我們敬拜祢  有尊榮和威嚴在祢  面前,0.7520,,,,,,,,False
15,86.780,主我們敬拜祢  有尊榮和威嚴在祢  面前,0.7800,,,,,,,,False
16,86.940,主我們敬拜祢  有尊榮和威嚴在祢  面前,0.8257,,,,,,,,False
17,86.960,當以聖潔為妝飾敬拜,0.8349,,,,,,,,False
18,90.800,主我們敬拜祢  有能力和華美在祢  聖所,0.8977,,,,,,,,False
19,93.880,主我們敬拜祢  有能力和華美在祢  聖所,0.9714,,,,,,,,False
20,99.500,當以聖潔為妝飾敬拜祢,0.8074,,,,,,,,False
21,105.640,願天歡喜  願地快樂,0.8989,,,,,,,,False
22,112.300,願海和其中所  充滿的澎湃,0.8794,,,,,,,,False
23,116.920,願天歡喜  願地快樂,0.3686,,,,,,,,False
24,118.720,願海和其中所  充滿的澎湃,0.7760,,,,,,,,False
25,120.000,願天歡喜  願地快樂,0.8617,,,,,,,,False
26,125.880,哈利路亞  耶和華作王,0.9811,,,,,,,,False
27,130.480,全地當在祂面前  歡呼,0.0000,,,,,,,,False
28,132.800,全地當在祂面前歡呼,0.6703,,,,,,,,False
29,135.100,哈利路亞  耶和華作王,0.8949,,,,,,,,False
30,138.680,全地當在祂面前  歡呼,0.9251,,,,,,,,False
31,141.500,全地當在祂面前歡呼,0.1634,,,,,,,,False
32,145.600,哈利路亞  耶和華作王,0.5137,,,,,,,,False
33,146.880,全地當在祂面前  歡呼,0.9537,,,,,,,,False
34,151.480,全地當在祂面前歡呼,0.9811,,,,,,,,False
35,154.300,哈利路亞  耶和華作王,0.8429,,,,,,,,False
36,155.580,全地當在祂面前  歡呼,0.2823,,,,,,,,False
37,158.400,全地當在祂面前歡呼,0.3320,,,,,,,,False
38,160.700,願天歡喜  願地快樂,0.8309,,,,,,,,False
39,167.360,願海和其中所  充滿的澎湃,0.9903,,,,,,,,False
40,173.500,願天歡喜  願地快樂,0.7394,,,,,,,,False
41,176.840,願田和其中所  有都快樂,0.5474,,,,,,,,False
42,180.420,哈利路亞  耶和華作王,0.9446,,,,,,,,False
43,186.320,願天歡喜  願地快樂,0.7943,,,,,,,,False
44,193.220,願海和其中所  充滿的澎湃,1.0000,,,,,,,,False
45,197.580,願天歡喜  願地快樂,0.8897,,,,,,,,False
46,201.420,願天歡喜  願地快樂,0.3909,,,,,,,,False
47,206.020,願天歡喜  願地快樂,1.0000,,,,,,,,False
48,206.800,哈利路亞  耶和華作王,0.9629,,,,,,,,False
49,236.800,哈利路亞  耶和華作王,0.0000,,,,,,,,False
50,244.220,哈利路亞  耶和華作王,0.0000,,,,,,,,False
