Scanning candidates...
Since: 2026-07-01
Delta range: 1.0h — 1440.0h
Analysis cross-check: enabled

hash_prefix,song_id,album,title,db_updated_at,r2_last_modified,delta_h,lrc_job_id,analyze_job_id,key_detected_at,analyze_job_done,job_completed_at,analyze_bump,bump_source,manual_edit_after_autogen,lrc_status,analyze_status,lrc_error,analyze_error,lrc_result_url,lrc_source,lrc_line_count,key_detected_at_drift,lrc_url_drift,stem_bump_attributable_to_stems,transcript_source_bias,debug_notes,verdict,recommendation
3ab6d60f7ede,qiu_zhu_chong_man_wo_5fc89031,深觸我心,求主充滿我,2026-07-17 03:44:31 UTC,2026-07-10T02:44:59+00:00,168.9922371391667,job_3bef94d5bfaa,job_785157b6622a,2026-07-17T03:44:28.422689+00:00,2026-07-17 03:44:28 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 168.9922371391667, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
a161921cc6cd,zai_mi_tong_zai_li_d23a1255,平安,在祢同在裡,2026-07-17 03:44:25 UTC,2026-07-13T22:16:09+00:00,77.47118728194444,job_f63b5a8d9d2f,job_f16b3ed1e96c,2026-07-17T03:44:23.595455+00:00,2026-07-17 03:44:23 UTC,2026-07-13T22:16:09.394553+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/a161921cc6cd/lyrics.lrc,youtube_transcript,18,False,False,False,False,"{'delta_h': 77.47118728194444, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
fedafbf5c8de,quan_xin_de_ni_6617981c,全新的你,全新的你,2026-07-17 03:44:14 UTC,2026-07-13T11:01:08+00:00,88.71847176416667,job_ebf89893c232,job_0a1d99f39216,2026-07-17T03:44:10.497056+00:00,2026-07-17 03:44:10 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 88.71847176416667, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
2d26395bac29,chu_mi_yi_wai_66dbc1d5,耶和華祝福滿滿,除祢以外,2026-07-17 03:43:58 UTC,2026-07-09T12:21:46+00:00,183.3701942952778,job_d5d0297f08e1,job_d3bd378bdad4,2026-07-17T03:43:56.796037+00:00,2026-07-17 03:43:56 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 183.3701942952778, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
28c8fc980e72,sheng_ming_de_kai_ge_9c5a45c4,耶和華祝福滿滿,生命的凱歌,2026-07-17 03:43:47 UTC,2026-07-17T01:01:43+00:00,2.7012465225,job_28471def178a,job_b30a1c06b49b,2026-07-17T03:43:47.074215+00:00,2026-07-17 03:43:47 UTC,2026-07-17T01:01:43.487183+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/28c8fc980e72/lyrics.lrc,qwen3_asr,33,False,False,False,False,"{'delta_h': 2.7012465225, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
b902f46ee467,wo_de_xin__ni_yao_cheng_song_ye_he_hua_dd69e9d3,甦醒,我的心，你要稱頌耶和華,2026-07-17 03:43:41 UTC,2026-07-17T01:29:34+00:00,2.2354778475,job_0e82864404c2,job_3e37c3f093a9,2026-07-17T03:43:37.768352+00:00,2026-07-17 03:43:37 UTC,2026-07-17T01:29:35.186249+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/b902f46ee467/lyrics.lrc,qwen3_asr,34,False,False,False,False,"{'delta_h': 2.2354778475, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
6fd7a9eae190,mai_xiang_xin_de_sheng_ming_22aebb2f,深觸我心,邁向新的生命,2026-07-17 03:43:30 UTC,2026-07-09T12:22:28+00:00,183.3508136911111,job_b212305514fb,job_8b932310a585,2026-07-17T03:43:26.561129+00:00,2026-07-17 03:43:26 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 183.3508136911111, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
7d299ce2f355,shen_shen_ai_mu_mi_48f295ef,平安,深深愛慕祢,2026-07-17 03:43:20 UTC,2026-07-13T22:17:56+00:00,77.42336541444445,job_95a4054c93eb,job_8bc230028604,2026-07-17T03:43:16.879679+00:00,2026-07-17 03:43:16 UTC,2026-07-13T22:17:56.537026+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/7d299ce2f355/lyrics.lrc,youtube_transcript,36,False,False,False,False,"{'delta_h': 77.42336541444445, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
b570a9604c45,fan_zhuan_di_qiu_52503759,沙漠中的讚美,翻轉地球,2026-07-17 03:43:14 UTC,2026-07-11T11:52:41+00:00,135.84259478305555,job_01e72c201cf4,job_138626188141,2026-07-17T03:43:09.823778+00:00,2026-07-17 03:43:09 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 135.84259478305555, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
8cbf0a271347,zhuan_xin_yang_wang_ye_su_588b1316,全能的創造主,專心仰望耶穌,2026-07-17 03:42:58 UTC,2026-07-13T11:05:50+00:00,88.61902147833334,job_30441a3f4e8c,job_c9e9cb505a8b,2026-07-17T03:42:53.452290+00:00,2026-07-17 03:42:53 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 88.61902147833334, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
e47c3054a15d,mi_en_dian_bu_li_kai_87b58eb3,似乎在天堂,祢恩典不離開,2026-07-17 03:42:52 UTC,2026-07-13T10:59:09+00:00,88.72878953749999,job_13d4b4a577f7,job_2aa490d2adb1,2026-07-17T03:42:49.971913+00:00,2026-07-17 03:42:49 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 88.72878953749999, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
218b53155bb3,bu_yao_fang_qi_8baf1279,不要放棄，滿有能力,不要放棄,2026-07-17 03:42:36 UTC,2026-07-12T00:08:52+00:00,123.56242379944445,job_8327c6e1c91a,job_6c04fac3ca83,2026-07-17T03:42:36.143696+00:00,2026-07-17 03:42:36 UTC,,True,analysis_job,unknown,,completed,,,,,,False,False,False,False,"{'delta_h': 123.56242379944445, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'unknown'}",SUSPECTED_POST_ANALYZE,needs --with-analysis to resolve
d82c45ff6c32,shun_fu_f14625a0,這裡有榮耀,順服,2026-07-17 03:42:35 UTC,2026-07-14T04:44:04+00:00,70.97553320472223,job_9e36b27340f0,job_1d22e3e3d3bd,2026-07-17T03:42:34.901323+00:00,2026-07-17 03:42:34 UTC,2026-07-14T04:44:04.980544+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/d82c45ff6c32/lyrics.lrc,youtube_transcript,22,False,False,False,False,"{'delta_h': 70.97553320472223, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
c8b2dc9febb9,zhe_li_you_rong_yao_6fd21f02,這裡有榮耀,這裡有榮耀,2026-07-17 03:42:24 UTC,2026-07-14T04:43:45+00:00,70.9777359325,job_593f8411830f,job_b32bc601edb6,2026-07-17T03:42:20.703426+00:00,2026-07-17 03:42:20 UTC,2026-07-14T04:43:45.882781+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/c8b2dc9febb9/lyrics.lrc,youtube_transcript,30,False,False,False,False,"{'delta_h': 70.9777359325, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
a78002f5e893,xie_xie_mi_fba8b601,這裡有榮耀,謝謝祢,2026-07-17 03:42:24 UTC,2026-07-14T04:43:06+00:00,70.98836096027777,job_1b9c7cb2bc4d,job_f41b20d20427,2026-07-17T03:42:19.351335+00:00,2026-07-17 03:42:19 UTC,2026-07-14T04:43:07.057570+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/a78002f5e893/lyrics.lrc,youtube_transcript,22,False,False,False,False,"{'delta_h': 70.98836096027777, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
580cc19565b3,ye_he_hua_da_neng_de_jun_dui_b02d5f17,這裡有榮耀,耶和華大能的軍隊,2026-07-17 03:42:07 UTC,2026-07-14T04:43:22+00:00,70.97939566111111,job_9afee4fd4fbe,job_22cf10389418,2026-07-17T03:42:03.795645+00:00,2026-07-17 03:42:03 UTC,2026-07-14T04:43:22.774878+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/580cc19565b3/lyrics.lrc,youtube_transcript,28,False,False,False,False,"{'delta_h': 70.97939566111111, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
925f3622ec4f,ji_da_de_sheng_yin_789c2e90,這裡有榮耀,極大的聲音,2026-07-17 03:42:01 UTC,2026-07-14T04:42:40+00:00,70.98940318388888,job_b93ffd763a17,job_e5383615f17a,2026-07-17T03:42:00.831438+00:00,2026-07-17 03:42:00 UTC,2026-07-14T04:42:40.470666+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/925f3622ec4f/lyrics.lrc,youtube_transcript,29,False,False,False,False,"{'delta_h': 70.98940318388888, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
5cae05934099,yong_heng_wei_yi_de_pan_wang_bb1aa623,這裡有榮耀,永恆唯一的盼望,2026-07-17 03:41:50 UTC,2026-07-14T04:42:36+00:00,70.98736127805556,job_e030975888e4,job_5a36853736df,2026-07-17T03:41:50.198756+00:00,2026-07-17 03:41:50 UTC,2026-07-14T04:42:36.389212+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/5cae05934099/lyrics.lrc,youtube_transcript,24,False,False,False,False,"{'delta_h': 70.98736127805556, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
0afc34c7fcb1,geng_duo_chong_man_ce2eb531,這裡有榮耀,更多充滿,2026-07-17 03:41:44 UTC,2026-07-14T04:41:44+00:00,71.00019446527777,job_753b357ba59f,job_d1f7ea99ff96,2026-07-17T03:41:42.667368+00:00,2026-07-17 03:41:42 UTC,2026-07-14T04:41:44.977975+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/0afc34c7fcb1/lyrics.lrc,youtube_transcript,24,False,False,False,False,"{'delta_h': 71.00019446527777, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
fc95420368c1,wo_men_huan_ying_jun_wang_jiang_lin_7a79edf7,這裡有榮耀,我們歡迎君王降臨,2026-07-17 03:41:38 UTC,2026-07-14T04:41:05+00:00,71.00940767805555,job_709dcf36fad6,job_07bd977c894d,2026-07-17T03:41:34.346149+00:00,2026-07-17 03:41:34 UTC,2026-07-14T04:41:05.762367+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/fc95420368c1/lyrics.lrc,youtube_transcript,42,False,False,False,False,"{'delta_h': 71.00940767805555, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
c60b92a819b8,wo_xin_wei_yi_ai_mu_037fb020,這裡有榮耀,我心唯一愛慕,2026-07-17 03:41:27 UTC,2026-07-14T04:41:06+00:00,71.00610540444444,job_7ca8ff432282,job_0818af2292f7,2026-07-17T03:41:24.124462+00:00,2026-07-17 03:41:24 UTC,2026-07-14T04:41:07.009421+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/c60b92a819b8/lyrics.lrc,youtube_transcript,26,False,False,False,False,"{'delta_h': 71.00610540444444, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
f80e410a0aee,ai_zhong_xiang_yu_e93451bb,這裡有榮耀,愛中相遇,2026-07-17 03:41:12 UTC,2026-07-14T04:40:30+00:00,71.01168062888888,job_17e6eb094ffd,job_4c7500d05450,2026-07-17T03:41:10.338792+00:00,2026-07-17 03:41:10 UTC,2026-07-14T04:40:30.363930+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/f80e410a0aee/lyrics.lrc,youtube_transcript,32,False,False,False,False,"{'delta_h': 71.01168062888888, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
